x,y,z,type,bodyId_post
28247,22516,42504,post,
22785,24572,49198,post,
24143,21143,48128,post,
24389,21116,44537,post,
24429,21077,44503,post,
22414,24115,48880,post,
25316,21984,47952,post,
22634,24398,49813,post,
25675,23062,47811,post,
25666,22815,47833,post,
27185,23541,47381,post,
25543,22166,47763,post,
24805,21756,47202,post,
25359,22024,47860,post,
25035,22738,47412,post,
25234,22876,48419,post,
24969,21674,47567,post,
24954,21688,47565,post,
24845,21849,47498,post,
30310,24091,47902,post,
30318,24049,47954,post,
30415,23977,48001,post,
29618,23615,46775,post,
25156,24112,46252,post,
29342,24947,46989,post,
25250,22783,48328,post,
25868,24403,47165,post,
25548,24405,47187,post,
26863,24371,47155,post,
25497,24335,47201,post,
25735,24412,47151,post,
26939,24364,47138,post,
26024,24419,46911,post,
28855,24829,47858,post,
25916,24383,46894,post,
24400,24269,46982,post,
24308,24333,46935,post,
29982,23670,46954,post,
23881,23478,47024,post,
22491,22939,46978,post,
22555,22961,46956,post,
30091,24027,47832,post,
23263,23901,46946,post,
22809,23890,47363,post,
28401,23761,47527,post,
28407,23762,47490,post,
26239,21567,47050,post,
24183,23748,47447,post,
23129,23870,47129,post,
25420,24171,45953,post,
27100,23508,47216,post,
23678,23530,47144,post,
25780,19564,45032,post,
26002,23044,45780,post,
23218,23782,47259,post,
30148,23624,47263,post,
24546,22630,47069,post,
24544,22615,47064,post,
24668,22571,47065,post,
24220,23666,47190,post,
23577,23544,47159,post,
29310,23698,47137,post,
25636,21821,47074,post,
23008,23213,47203,post,
23673,21780,45634,post,
23119,23225,47175,post,
25637,21771,46905,post,
24410,23279,45902,post,
23607,23930,46397,post,
25370,22772,46003,post,
24764,21799,47144,post,
26625,23585,46402,post,
24564,23249,45180,post,
24732,24100,46346,post,
23153,23981,46736,post,
25518,19665,44702,post,
24967,23357,45274,post,
24605,23277,45147,post,
26771,21745,45309,post,
23727,21756,45118,post,
23677,21722,45100,post,
22720,20329,44469,post,
25759,19199,44355,post,
25691,19638,44500,post,
25693,19620,44502,post,
23615,22892,43387,post,
23734,21697,44912,post,
24404,21195,43971,post,
24254,21144,43994,post,
25898,19819,43915,post,
29305,22881,43202,post,
29248,22893,43182,post,
28597,21728,42905,post,
28551,21728,42864,post,
28528,21708,42854,post,
26682,23546,45591,post,
26684,23548,45593,post,
26686,23543,45585,post,
25021,25505,49938,post,
25513,25372,49943,post,
25540,25361,49832,post,
22142,24356,49201,post,
22747,24385,49810,post,
29793,26395,48147,post,
29836,26343,48169,post,
29995,26557,47336,post,
