mn_type,mn_id,thorax,side,nerve_base,segment_hint,group,Target,joint,dof,action,gain,bias,sign,actuator_name,instance,type,systematicType,name,cellType,class,actuator_hint_note,actuator_name_autofill_score,muscle_group
MNad18_AbN3_L,12209,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad18_AbN3_L,MNad18,MNad18,,,motor neuron,no Target,4,extensor
MNad19_AbN4_L,10753,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad19_AbN4_L,MNad19,MNad19,,,motor neuron,no Target,4,extensor
MNad19_AbN4_L,11768,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad19_AbN4_L,MNad19,MNad19,,,motor neuron,no Target,4,extensor
MNad19_AbN4_L,13719,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad19_AbN4_L,MNad19,MNad19,,,motor neuron,no Target,4,extensor
MNad20_AbNT_L,11232,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad20_AbNT_L,MNad20,MNad20,,,motor neuron,no Target,4,extensor
MNad20_AbNT_L,15784,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad20_AbNT_L,MNad20,MNad20,,,motor neuron,no Target,4,extensor
MNad21_AbN2_L,10482,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad21_AbN2_L,MNad21,MNad21,,,motor neuron,no Target,4,extensor
MNad21_AbN3_L,10548,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad21_AbN3_L,MNad21,MNad21,,,motor neuron,no Target,4,extensor
MNad22_AbNT_L,10386,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad22_AbNT_L,MNad22,MNad22,,,motor neuron,no Target,4,extensor
MNad23_AbNT_L,10505,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad23_AbNT_L,MNad23,MNad23,,,motor neuron,no Target,4,extensor
MNad24_AbN2_L,14871,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad24_AbN2_L,MNad24,MNad24,,,motor neuron,no Target,4,extensor
MNad25_AbN2_L,13924,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad25_AbN2_L,MNad25,MNad25,,,motor neuron,no Target,4,extensor
MNad26_AbN1_L,13717,,left,AbN1,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad26_AbN1_L,MNad26,MNad26,,,motor neuron,no Target,4,extensor
MNad27_AbN3_L,12445,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad27_AbN3_L,MNad27,MNad27,,,motor neuron,no Target,4,extensor
MNad28_AbN1_L,15523,,left,AbN1,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad28_AbN1_L,MNad28,MNad28,,,motor neuron,no Target,4,extensor
MNad29_AbN1_L,153281,,left,AbN1,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad29_AbN1_L,MNad29,MNad29,,,motor neuron,no Target,4,extensor
MNad30_AbN2_L,16068,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad30_AbN2_L,MNad30,MNad30,,,motor neuron,no Target,4,extensor
MNad31_AbN2_L,15561,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad31_AbN2_L,MNad31,MNad31,,,motor neuron,no Target,4,extensor
MNad32_AbN2_L,14461,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad32_AbN2_L,MNad32,MNad32,,,motor neuron,no Target,4,extensor
MNad33_AbN2_L,15801,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad33_AbN2_L,MNad33,MNad33,,,motor neuron,no Target,4,extensor
MNad34_AbN2_L,10787,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad34_AbN2_L,MNad34,MNad34,,,motor neuron,no Target,4,extensor
MNad35_AbN2_L,12756,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad35_AbN2_L,MNad35,MNad35,,,motor neuron,no Target,4,extensor
MNad36_AbN2_L,12506,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad36_AbN2_L,MNad36,MNad36,,,motor neuron,no Target,4,extensor
MNad37_AbN2_L,12185,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad37_AbN2_L,MNad37,MNad37,,,motor neuron,no Target,4,extensor
MNad38_AbN3_L,13050,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad38_AbN3_L,MNad38,MNad38,,,motor neuron,no Target,4,extensor
MNad40_AbN2_L,11638,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad40_AbN2_L,MNad40,MNad40,,,motor neuron,no Target,4,extensor
MNad41_AbN2_L,10904,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad41_AbN2_L,MNad41,MNad41,,,motor neuron,no Target,4,extensor
MNad42_AbN2_L,10460,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad42_AbN2_L,MNad42,MNad42,,,motor neuron,no Target,4,extensor
MNad43_AbN3_L,17391,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad43_AbN3_L,MNad43,MNad43,,,motor neuron,no Target,4,extensor
MNad44_AbN3_L,16956,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad44_AbN3_L,MNad44,MNad44,,,motor neuron,no Target,4,extensor
MNad45_AbN2_L,16728,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad45_AbN2_L,MNad45,MNad45,,,motor neuron,no Target,4,extensor
MNad46_AbN2_L,16278,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad46_AbN2_L,MNad46,MNad46,,,motor neuron,no Target,4,extensor
MNad47_AbN2_L,15937,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad47_AbN2_L,MNad47,MNad47,,,motor neuron,no Target,4,extensor
MNad48_AbNT_L,15832,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad48_AbNT_L,MNad48,MNad48,,,motor neuron,no Target,4,extensor
MNad49_AbNT_L,14447,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad49_AbNT_L,MNad49,MNad49,,,motor neuron,no Target,4,extensor
MNad51_AbN2_L,18373,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad51_AbN2_L,MNad51,MNad51,,,motor neuron,no Target,4,extensor
MNad52_AbN4_L,14708,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad52_AbN4_L,MNad52,MNad52,,,motor neuron,no Target,4,extensor
MNad53_AbNT_L,14983,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad53_AbNT_L,MNad53,MNad53,,,motor neuron,no Target,4,extensor
MNad53_AbNT_L,16094,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad53_AbNT_L,MNad53,MNad53,,,motor neuron,no Target,4,extensor
MNad54_AbN2_L,14021,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad54_AbN2_L,MNad54,MNad54,,,motor neuron,no Target,4,extensor
MNad54_AbN2_L,14653,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad54_AbN2_L,MNad54,MNad54,,,motor neuron,no Target,4,extensor
MNad55_AbNT_L,15094,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad55_AbNT_L,MNad55,MNad55,,,motor neuron,no Target,4,extensor
MNad56_AbN3_L,13797,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad56_AbN3_L,MNad56,MNad56,,,motor neuron,no Target,4,extensor
MNad57_AbNT_L,13392,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad57_AbNT_L,MNad57,MNad57,,,motor neuron,no Target,4,extensor
MNad58_AbN4_L,13188,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad58_AbN4_L,MNad58,MNad58,,,motor neuron,no Target,4,extensor
MNad61_AbNT_L,13418,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad61_AbNT_L,MNad61,MNad61,,,motor neuron,no Target,4,extensor
MNad62_AbNT_L,14329,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad62_AbNT_L,MNad62,MNad62,,,motor neuron,no Target,4,extensor
MNad63_AbN2_L,11375,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad63_AbN2_L,MNad63,MNad63,,,motor neuron,no Target,4,extensor
MNad64_AbNT_L,11097,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad64_AbNT_L,MNad64,MNad64,,,motor neuron,no Target,4,extensor
MNad65_AbNT_L,11265,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad65_AbNT_L,MNad65,MNad65,,,motor neuron,no Target,4,extensor
MNad66_AbNT_L,12526,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad66_AbNT_L,MNad66,MNad66,,,motor neuron,no Target,4,extensor
MNad67_AbNT_L,11063,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad67_AbNT_L,MNad67,MNad67,,,motor neuron,no Target,4,extensor
