pre_id,post_id,x,y,z,type
10000,19605,24830,30555,51606,pre
10000,17817,24830,30555,51606,pre
10000,21589,24830,30555,51606,pre
10000,19605,24830,30539,51553,pre
10000,17817,24830,30539,51553,pre
10000,21589,24830,30539,51553,pre
10000,10950,24830,30539,51553,pre
10000,17817,24800,30525,51502,pre
10000,21589,24800,30525,51502,pre
10000,10950,24800,30525,51502,pre
10000,17817,24824,30504,51500,pre
10000,21589,24824,30504,51500,pre
10000,10950,24824,30504,51500,pre
10000,10950,24911,30446,51499,pre
10000,166986,24950,30366,51458,pre
10000,10950,24881,30469,51522,pre
10000,17817,24850,30479,51500,pre
10000,21589,24850,30479,51500,pre
10000,10950,24850,30479,51500,pre
10000,17817,24800,30525,51502,pre
10000,21589,24800,30525,51502,pre
10000,10950,24800,30525,51502,pre
10000,17817,24824,30504,51500,pre
10000,21589,24824,30504,51500,pre
10000,10950,24824,30504,51500,pre
10000,17817,24762,30524,51470,pre
10000,10085,24762,30524,51470,pre
10000,21589,24762,30524,51470,pre
10000,17817,24800,30525,51502,pre
10000,21589,24800,30525,51502,pre
10000,10950,24800,30525,51502,pre
10000,17817,24824,30504,51500,pre
10000,21589,24824,30504,51500,pre
10000,10950,24824,30504,51500,pre
10000,166986,24950,30366,51458,pre
10000,166986,24950,30366,51458,pre
10000,17817,24800,30525,51502,pre
10000,21589,24800,30525,51502,pre
10000,10950,24800,30525,51502,pre
10000,17817,24762,30524,51470,pre
10000,10085,24762,30524,51470,pre
10000,21589,24762,30524,51470,pre
10000,17817,24834,30407,51424,pre
10000,19605,24901,30524,51628,pre
10000,12179,24930,30503,51620,pre
10000,10950,24930,30503,51620,pre
10000,17817,24850,30479,51500,pre
10000,21589,24850,30479,51500,pre
10000,10950,24850,30479,51500,pre
10000,17817,24834,30407,51424,pre
10000,10950,24881,30469,51522,pre
10000,17817,24850,30479,51500,pre
10000,21589,24850,30479,51500,pre
10000,10950,24850,30479,51500,pre
10000,10950,24911,30446,51499,pre
10000,14882,24646,30535,51416,pre
10000,10085,24646,30535,51416,pre
10000,166986,24950,30366,51458,pre
10000,10512,24858,30348,51301,pre
10000,22547,24779,30381,51259,pre
10000,22547,24779,30381,51259,pre
10000,22547,24756,30387,51229,pre
10000,13859,24506,30658,51735,pre
10000,152261,24506,30658,51735,pre
10000,13859,24506,30658,51735,pre
10000,152261,24506,30658,51735,pre
10000,13859,24552,30657,51723,pre
10000,13859,24524,30644,51711,pre
10000,152261,24524,30644,51711,pre
10000,13859,24552,30657,51723,pre
10000,13859,24575,30652,51708,pre
10000,13859,24552,30657,51723,pre
10000,13859,24575,30652,51708,pre
10000,152261,24587,30633,51646,pre
10000,13601,24603,30627,51612,pre
10000,152261,24603,30627,51612,pre
10000,13601,24603,30627,51612,pre
10000,152261,24603,30627,51612,pre
10000,13859,24552,30657,51723,pre
10000,13859,24506,30658,51735,pre
10000,152261,24506,30658,51735,pre
10000,13859,24524,30644,51711,pre
10000,152261,24524,30644,51711,pre
10000,13859,24575,30652,51708,pre
10000,152261,24587,30633,51646,pre
10000,13601,24603,30627,51612,pre
10000,152261,24603,30627,51612,pre
10000,152261,24591,30603,51554,pre
10000,13859,24506,30658,51735,pre
10000,152261,24506,30658,51735,pre
10000,13859,24552,30657,51723,pre
10000,13859,24524,30644,51711,pre
10000,152261,24524,30644,51711,pre
10000,13859,24575,30652,51708,pre
10000,152261,24587,30633,51646,pre
10000,13601,24603,30627,51612,pre
10000,152261,24603,30627,51612,pre
10000,152261,24591,30603,51554,pre
10000,13601,24627,30610,51537,pre
10000,21589,24627,30610,51537,pre
10000,13859,24552,30657,51723,pre
10000,13859,24524,30644,51711,pre
10000,152261,24524,30644,51711,pre
10000,13859,24575,30652,51708,pre
10000,152261,24587,30633,51646,pre
10000,152261,24564,30593,51518,pre
10000,10950,24564,30593,51518,pre
10000,13859,24575,30652,51708,pre
10000,152261,24587,30633,51646,pre
10000,13601,24603,30627,51612,pre
10000,152261,24603,30627,51612,pre
10000,152261,24587,30633,51646,pre
10000,13601,24603,30627,51612,pre
10000,152261,24603,30627,51612,pre
10000,11697,24521,30571,51503,pre
10000,12290,24521,30571,51503,pre
10000,14882,24521,30571,51503,pre
10000,152261,24521,30571,51503,pre
10000,152261,24591,30603,51554,pre
10000,13601,24627,30610,51537,pre
10000,21589,24627,30610,51537,pre
10000,152261,24564,30593,51518,pre
10000,10950,24564,30593,51518,pre
10000,152261,24564,30593,51518,pre
10000,10950,24564,30593,51518,pre
10000,13601,24603,30627,51612,pre
10000,152261,24603,30627,51612,pre
10000,152261,24591,30603,51554,pre
10000,13601,24627,30610,51537,pre
10000,21589,24627,30610,51537,pre
10000,152261,24564,30593,51518,pre
10000,10950,24564,30593,51518,pre
10000,11697,24521,30571,51503,pre
10000,12290,24521,30571,51503,pre
10000,14882,24521,30571,51503,pre
10000,152261,24521,30571,51503,pre
10000,11697,24580,30590,51476,pre
10000,10950,24580,30590,51476,pre
10000,13601,24627,30610,51537,pre
10000,21589,24627,30610,51537,pre
10000,11697,24580,30590,51476,pre
10000,10950,24580,30590,51476,pre
10000,11697,24521,30571,51503,pre
10000,12290,24521,30571,51503,pre
10000,14882,24521,30571,51503,pre
10000,152261,24521,30571,51503,pre
10000,23949,24501,30548,51477,pre
10000,12290,24501,30548,51477,pre
10000,14882,24501,30548,51477,pre
10000,11697,24580,30590,51476,pre
10000,10950,24580,30590,51476,pre
10000,14882,24646,30535,51416,pre
10000,10085,24646,30535,51416,pre
10000,23949,24501,30548,51477,pre
10000,12290,24501,30548,51477,pre
10000,14882,24501,30548,51477,pre
10000,11697,24580,30590,51476,pre
10000,10950,24580,30590,51476,pre
10000,11697,24543,30551,51370,pre
10000,23949,24543,30551,51370,pre
10000,12831,24543,30551,51370,pre
10000,16900,24543,30551,51370,pre
10000,14882,24543,30551,51370,pre
10000,11697,24521,30571,51503,pre
10000,12290,24521,30571,51503,pre
10000,14882,24521,30571,51503,pre
10000,152261,24521,30571,51503,pre
10000,23949,24501,30548,51477,pre
10000,12290,24501,30548,51477,pre
10000,14882,24501,30548,51477,pre
10000,14882,24646,30535,51416,pre
10000,10085,24646,30535,51416,pre
10000,14882,24618,30552,51425,pre
