mn_type,mn_id,nerve,subsystem,thorax,side,joint,dof,actuator_name,sign,action,gain,bias,confidence,notes,target_body,target_joint,weight
MNwm34_PDMNp_L,10068,PDMN,wing,T2,left,wing,pitch,wing_pitch_left,1.0,,1.0,0.0,low,placeholder; might be roll/yaw,wing,wing_pitch,1.0
MNwm34_PDMNp_R,10110,PDMN,wing,T2,right,wing,pitch,wing_pitch_left,1.0,,1.0,0.0,low,placeholder; might be roll/yaw,wing,wing_pitch,1.0
MNwm35_MesoAN_L,11991,MesoAN,wing,T2,left,wing,pitch,wing_pitch_left,1.0,,1.0,0.0,low,placeholder; might be roll/yaw,wing,wing_pitch,1.0
MNwm35_MesoAN_R,13665,MesoAN,wing,T2,right,wing,pitch,wing_pitch_left,1.0,,1.0,0.0,low,placeholder; might be roll/yaw,wing,wing_pitch,1.0
MNwm36_MesoAN_L,10178,MesoAN,wing,T2,left,wing,pitch,wing_pitch_left,1.0,,1.0,0.0,low,placeholder; might be roll/yaw,wing,wing_pitch,1.0
MNwm36_MesoAN_R,46457,MesoAN,wing,T2,right,wing,pitch,wing_pitch_left,1.0,,1.0,0.0,low,placeholder; might be roll/yaw,wing,wing_pitch,1.0
MNxm01_PDMNa_L,12009,PDMN,wing,T2,left,wing,pitch,wing_pitch_left,1.0,,1.0,0.0,low,placeholder; might be roll/yaw,wing,wing_pitch,1.0
MNxm01_PDMNa_R,11372,PDMN,wing,T2,right,wing,pitch,wing_pitch_left,1.0,,1.0,0.0,low,placeholder; might be roll/yaw,wing,wing_pitch,1.0
MNxm02_DMetaN_L,13072,DMetaN,,,left,,,,0.0,,1.0,0.0,low,unresolved,,,1.0
MNxm02_DMetaN_R,12308,DMetaN,,,right,,,,0.0,,1.0,0.0,low,unresolved,,,1.0
MNxm03_DMetaN_L,16167,DMetaN,,,left,,,,0.0,,1.0,0.0,low,unresolved,,,1.0
MNxm03_DMetaN_R,13478,DMetaN,,,right,,,,0.0,,1.0,0.0,low,unresolved,,,1.0
TTMn,10068,,,,,,,,0.0,,1.0,0.0,low,unresolved,,,1.0
TTMn,10110,,,,,,,,0.0,,1.0,0.0,low,unresolved,,,1.0
