x,y,z,type
31238,38706,28418,post
31222,38555,28358,post
30096,33906,26218,post
33405,32198,36471,post
33416,32215,36429,post
33240,32085,36827,post
33315,32002,36721,post
33268,31957,36669,post
33266,31987,36568,post
31035,33328,28223,post
30897,33308,28047,post
30849,33313,27933,post
30776,33258,27787,post
30518,33601,26694,post
30496,33612,26679,post
30448,33675,26568,post
30447,33600,26506,post
30438,33763,26532,post
30421,33695,26543,post
30270,33823,26408,post
30148,33844,26259,post
30180,33843,26270,post
32922,33650,32125,post
32844,33748,32254,post
32862,33752,32293,post
32850,33744,32284,post
32741,33497,32173,post
32765,33496,32144,post
32793,33526,32101,post
33925,34421,38743,post
33970,34497,38711,post
33843,34525,38667,post
33898,34316,38939,post
33842,34172,38747,post
33962,34175,38787,post
33874,34220,38759,post
33979,34311,38654,post
34242,33811,38866,post
34294,33686,38900,post
34206,33697,38882,post
34185,33735,38660,post
30655,33314,26784,post
30676,33312,26759,post
30594,33279,27005,post
30500,33283,26992,post
30546,33299,27081,post
30557,33298,27045,post
32208,35381,28489,post
32018,35567,28364,post
30233,32855,26812,post
30040,33335,26581,post
32941,33778,32971,post
32415,35453,28512,post
32412,35442,28512,post
32381,35323,28491,post
32307,35206,28643,post
32137,35372,28565,post
32415,30244,38877,post
32875,30105,38721,post
30220,29993,38789,post
29480,30133,38990,post
29484,30132,38986,post
29506,30085,38955,post
29456,30076,38929,post
29539,30081,38912,post
29473,30065,38902,post
29500,30078,38870,post
29380,30048,38903,post
29386,30065,38869,post
29441,29997,38698,post
29363,30002,38688,post
29113,29999,38741,post
29154,29999,38727,post
28934,29950,38632,post
28906,29948,38632,post
28942,29791,38527,post
28895,29777,38519,post
28434,29849,38583,post
27884,29879,38572,post
27918,29867,38575,post
27877,29866,38538,post
27682,29976,38589,post
26720,30291,38940,post
26820,30220,38907,post
26917,30027,38804,post
26982,29976,38772,post
26819,29888,38736,post
26906,30103,38641,post
26931,30099,38620,post
26603,30323,39072,post
26645,30304,39039,post
26701,30281,38996,post
26880,30254,38539,post
26909,30279,38501,post
26914,30250,38496,post
26481,29895,38812,post
26762,30182,38882,post
25852,29872,39012,post
25397,29940,38984,post
29409,34461,25603,post
29436,34584,25447,post
29440,34569,25441,post
32724,29503,38879,post
32613,29488,38781,post
32612,29588,38839,post
32605,29568,38841,post
32624,29486,38788,post
32582,29583,38756,post
28476,29794,38915,post
28515,29803,38911,post
28761,29836,38805,post
28694,29834,38791,post
28766,29838,38770,post
28728,29837,38782,post
28728,29778,38679,post
28713,29793,38698,post
28767,29759,38668,post
28748,29740,38663,post
28709,29743,38663,post
28512,29653,38663,post
28470,29671,38659,post
28444,29677,38676,post
28333,29732,38532,post
28433,29677,38624,post
28401,29702,38611,post
28338,29700,38595,post
28461,29671,38604,post
28018,29759,38910,post
28284,29692,38749,post
27896,29679,38637,post
28006,29784,38606,post
27997,29715,38581,post
27531,29736,38711,post
27508,29749,38741,post
27481,29768,38714,post
26653,29729,38834,post
26622,29728,38825,post
26528,29717,38812,post
26426,29742,38775,post
26416,29777,38820,post
26364,29797,38810,post
26648,29543,38696,post
25899,29765,38788,post
25888,29789,38774,post
26023,29790,38815,post
25986,29788,38800,post
32854,29597,38877,post
32783,29615,38858,post
32969,29348,38875,post
32967,29327,38865,post
32988,29326,38860,post
33192,29320,38985,post
33066,29432,38945,post
32230,32764,32393,post
32234,32730,32376,post
32225,32786,32376,post
32245,32800,32339,post
32246,32790,32286,post
30392,33920,25669,post
30393,33923,25672,post
30464,33928,25263,post
30201,34197,25433,post
30183,34227,25430,post
30066,34241,25380,post
30006,34213,25212,post
29631,34308,25642,post
32321,34825,28861,post
32382,34555,28866,post
32376,34583,28862,post
32413,34829,28446,post
32277,34994,28380,post
33354,33546,34419,post
31977,32089,33199,post
31980,32091,33184,post
32161,32020,33084,post
32690,33840,31283,post
32615,33820,30805,post
30197,32832,26747,post
29557,33952,25839,post
32164,31757,33262,post
33433,33026,34540,post
33422,33053,34471,post
33508,33000,34726,post
33482,33007,34699,post
33458,32982,34699,post
33451,33044,34338,post
33447,33034,34316,post
33235,33157,33888,post
31868,31429,32408,post
31838,31394,32363,post
31252,33560,28411,post
31940,33185,28369,post
31146,33318,28549,post
31126,33296,28328,post
31215,38481,28205,post
34493,33626,36800,post
31309,37013,27102,post
30965,37051,27018,post
30761,37014,27001,post
30986,36802,27237,post
32662,33262,32443,post
31208,39460,28948,post
32539,34402,29881,post
31543,35642,27224,post
31543,35646,27259,post
31276,35715,27325,post
31267,35695,27319,post
31225,35669,27299,post
31215,35817,27175,post
32422,34187,30217,post
31629,35569,27295,post
31380,35333,26957,post
31357,35321,26958,post
33092,33740,33660,post
32790,33634,32131,post
32730,33715,31887,post
32754,33716,31923,post
32416,34263,29655,post
32410,34275,29672,post
31191,35689,27283,post
31364,36302,27266,post
33166,33486,33813,post
33178,33407,33819,post
33164,33456,33808,post
33172,33423,33816,post
33017,32115,29878,post
33023,32108,29884,post
33070,33886,29459,post
32228,32711,32535,post
32239,32689,32554,post
30789,33483,27188,post
30688,33511,27220,post
30654,33559,27188,post
30658,33552,27162,post
30477,33427,27155,post
30366,33430,26903,post
30560,33662,26792,post
30551,33533,26723,post
30399,33418,26918,post
31995,31428,32572,post
30690,37073,26471,post
30595,33309,27142,post
30068,33062,27069,post
30269,32908,27020,post
30225,33033,26997,post
30239,32851,26828,post
32407,31680,33572,post
32208,31488,32985,post
32198,31456,32946,post
35114,33212,36887,post
34679,33154,36871,post
35110,33285,36934,post
35203,33629,37007,post
35266,33695,36952,post
35265,33658,36978,post
35191,33597,36998,post
34445,33296,36601,post
34384,33303,36501,post
35117,33264,36857,post
32700,33836,31400,post
32696,33851,31380,post
32047,35103,28221,post
32014,35093,28212,post
32004,35095,28208,post
32052,35068,28256,post
23784,30289,40596,post
23634,30409,40478,post
23195,30370,40329,post
23169,30321,40315,post
34337,29204,39732,post
34332,29187,39656,post
33131,33421,33695,post
32937,33666,32840,post
32944,33662,32807,post
33022,33547,33352,post
31928,31991,33527,post
31904,31997,33512,post
31148,32022,33932,post
31078,32011,33949,post
31178,32015,33920,post
31163,32092,33849,post
31167,32074,33839,post
33062,33469,33520,post
33088,33440,33520,post
32839,33755,32020,post
31150,31989,34023,post
31040,31997,33966,post
32255,32572,32575,post
32110,32159,32950,post
31828,32034,33449,post
31801,32023,33440,post
32231,32496,32652,post
32117,32156,33103,post
32158,32107,33071,post
32138,32135,33034,post
32116,31976,33050,post
32126,31999,33021,post
32600,33770,30337,post
32511,33618,30357,post
32543,33609,30391,post
32510,33614,30338,post
32169,33207,29842,post
32763,33867,31635,post
32767,33878,31647,post
32198,33181,29771,post
32211,33174,29772,post
32148,33192,29714,post
32150,33334,29875,post
32152,33019,29674,post
32130,32987,29644,post
32135,32866,29619,post
32119,32895,29625,post
32154,32840,29606,post
32384,32441,29450,post
32669,34076,29971,post
32336,35181,28694,post
32605,34330,29636,post
32590,33590,30589,post
32688,33705,30578,post
32703,33720,30544,post
32579,33636,30547,post
32576,33587,30568,post
32425,35044,28843,post
32431,35027,28829,post
32433,35020,28808,post
32421,35007,28673,post
32411,34897,28998,post
32422,34891,28942,post
32236,32368,29639,post
32239,32360,29633,post
32233,32363,29610,post
32720,32261,29594,post
32706,32283,29582,post
32719,32296,29573,post
32614,32288,29559,post
32554,32316,29535,post
32494,32320,29513,post
32354,32416,29463,post
32443,32360,29494,post
32421,32374,29493,post
32595,34151,29901,post
32792,34064,29925,post
32660,34067,29951,post
32727,34147,29890,post
32755,34122,29883,post
32592,34243,29811,post
32757,34116,29815,post
32762,34095,29817,post
32659,34259,29706,post
32625,34294,29704,post
32018,35566,28362,post
32027,35562,28369,post
32164,35345,28422,post
32132,35360,28325,post
32106,35377,28289,post
32085,35396,28266,post
32045,35454,28214,post
32059,35416,28232,post
32334,35161,28635,post
32310,35190,28639,post
32394,34964,28643,post
31722,35939,28002,post
31731,35913,28001,post
31739,35940,27999,post
31744,35957,27948,post
31729,35970,27936,post
32376,30416,38938,post
35058,33256,37164,post
35117,33131,37167,post
34988,32925,37347,post
35112,33188,37388,post
35127,33066,37440,post
35155,33381,37430,post
35152,33351,37409,post
35168,33313,37385,post
35064,32938,37475,post
35076,32969,37444,post
35058,33278,37142,post
35130,33169,37365,post
34064,34737,38124,post
34012,34643,38110,post
33959,34542,38275,post
27591,29843,38155,post
27607,29866,38209,post
27586,29882,38190,post
27577,29852,38126,post
28645,29651,38544,post
28598,29651,38556,post
33563,32408,36220,post
33584,32804,35589,post
31430,35438,27294,post
31422,35428,27294,post
28742,30052,39052,post
34221,34589,38129,post
32263,32725,32339,post
32779,33707,32074,post
32763,33559,32503,post
32692,34098,30277,post
32610,34364,29918,post
32649,34173,30129,post
32606,34274,29978,post
32693,34004,30475,post
31373,36501,27516,post
31284,36962,27435,post
32093,30133,38838,post
26468,30153,38382,post
30703,33488,27329,post
30694,33476,27264,post
30694,33465,27256,post
32442,31707,33642,post
32444,31707,33641,post
32444,31711,33638,post
32424,31698,33608,post
34176,34915,37849,post
34236,34436,38425,post
34192,34897,37895,post
32432,33218,33377,post
32528,33538,33452,post
32618,33685,33347,post
32603,33698,33324,post
32150,32089,33277,post
30845,37067,26990,post
31349,35591,27116,post
31424,35417,27085,post
31417,35420,27057,post
31483,35352,26971,post
31345,35207,27132,post
24357,30074,40423,post
32349,34308,29015,post
32377,34293,28969,post
33489,32136,36060,post
30781,33424,27075,post
30430,33225,27105,post
30290,33010,27121,post
33254,32143,30107,post
33219,32188,30013,post
32221,32621,29264,post
23666,30364,40904,post
23654,30356,40897,post
23698,30298,40775,post
30988,33405,28027,post
31254,33109,28896,post
33868,32787,40433,post
33819,32762,40289,post
33907,32737,40397,post
28050,29728,39053,post
34046,34684,38139,post
34090,34762,38127,post
34072,34655,38243,post
34117,34629,38182,post
25479,30466,39329,post
25443,30488,39330,post
26360,30473,39254,post
27795,29664,38613,post
27626,29628,38404,post
27806,29686,38800,post
27868,29555,38775,post
25483,30449,39311,post
27788,29714,38663,post
35265,33752,36981,post
35139,33765,36823,post
26568,29856,38407,post
26527,29845,38407,post
34236,33425,36425,post
34284,33280,36461,post
34274,33379,36402,post
31807,31374,32342,post
31793,32034,33422,post
31809,32160,33333,post
31795,32156,33320,post
32059,32149,33160,post
32097,32199,33154,post
32491,34159,30166,post
32471,34164,30191,post
32490,34160,30126,post
31770,36129,28053,post
31863,35990,28100,post
31752,35971,28101,post
31791,35945,28131,post
31881,35979,28078,post
31865,35992,28102,post
31865,35978,28082,post
32599,33881,30116,post
32610,33859,30117,post
32474,33749,30456,post
32434,33737,30258,post
30292,33429,26502,post
30403,33597,26498,post
30970,33128,28353,post
30841,33494,27643,post
31082,32998,28723,post
31082,33096,28614,post
31088,33132,28585,post
31073,33166,28492,post
31070,33122,28441,post
30687,33576,27387,post
30816,33442,27743,post
30842,33487,27679,post
30804,33447,27694,post
30196,34072,25958,post
30383,33304,26885,post
30394,33454,26777,post
30328,33808,26179,post
30468,33878,26584,post
30400,33308,26895,post
30563,33643,26858,post
30572,33646,26779,post
30567,33650,26791,post
30283,34039,25539,post
