x,y,z,type,bodyId_post
18036,23241,48403,post,
19515,21172,48002,post,
20031,21136,47915,post,
19976,21034,47895,post,
20173,20977,48121,post,
20054,20963,48013,post,
20036,20916,47996,post,
21247,21567,47358,post,
24202,21053,47846,post,
18146,23545,48169,post,
22234,22659,48536,post,
22007,22595,48479,post,
21293,21582,47441,post,
17549,23946,48302,post,
17546,23925,48315,post,
24537,22004,48514,post,
24555,21920,48418,post,
24526,21910,48411,post,
24283,21459,48269,post,
24272,21442,48194,post,
22559,23083,48111,post,
20909,21325,46831,post,
20989,21359,46974,post,
20954,21375,46911,post,
19611,20822,47084,post,
19507,20716,46971,post,
19503,20713,46964,post,
19546,20633,46931,post,
19525,20595,46969,post,
22450,21958,47105,post,
19390,20677,44719,post,
26308,22925,45742,post,
26286,22922,45732,post,
26353,23000,45619,post,
22585,23038,48035,post,
22532,22920,48049,post,
22785,23864,47372,post,
22774,23826,47386,post,
22599,23056,48033,post,
20257,22806,48517,post,
20153,22806,48257,post,
21501,24189,49432,post,
23713,25144,50355,post,
23717,25147,50353,post,
18449,20819,48332,post,
18424,20817,48370,post,
18441,20801,48328,post,
18943,22868,48723,post,
17055,24821,49417,post,
28261,24888,47524,post,
18836,22907,48589,post,
20241,23248,48225,post,
20291,23206,48168,post,
28165,25275,48195,post,
20654,22704,48333,post,
20551,22793,48332,post,
20231,22982,48243,post,
18143,23591,48087,post,
26018,23107,46247,post,
21400,22044,47103,post,
25247,22798,46064,post,
25235,22775,46054,post,
24801,22328,46408,post,
21736,23798,49039,post,
23416,25088,50665,post,
21863,23891,49156,post,
23525,22032,46467,post,
27294,23420,44571,post,
18960,22948,48119,post,
19770,21566,48795,post,
19893,21531,48848,post,
19603,22730,48984,post,
19593,22722,48991,post,
22315,21970,47949,post,
22320,21971,47902,post,
21029,22240,47999,post,
21002,22171,47929,post,
23299,25127,49528,post,
20796,21452,47126,post,
20368,23301,48292,post,
24721,21515,47517,post,
18493,23203,48134,post,
21958,21444,48328,post,
21965,21453,48318,post,
23908,21389,48191,post,
22936,21326,48268,post,
23911,21392,48164,post,
19473,20738,46182,post,
20699,20894,46766,post,
20679,20876,46757,post,
20603,20846,46691,post,
19470,20678,46175,post,
19680,20478,46902,post,
19852,20729,45269,post,
19882,20753,45252,post,
20391,20653,44162,post,
25866,24404,47211,post,
25950,24309,47296,post,
26096,24284,47170,post,
24500,26110,50625,post,
23944,25886,50478,post,
25432,21535,46467,post,
25417,21536,46449,post,
25407,21499,46547,post,
25437,21762,46825,post,
25735,23288,46939,post,
25339,21709,46850,post,
26572,23579,48135,post,
26577,23579,48135,post,
21226,21377,47242,post,
19254,21214,47272,post,
19484,20963,47275,post,
19479,20908,47142,post,
25216,20668,45588,post,
17180,21348,45348,post,
25243,20690,45434,post,
22714,24454,48942,post,
19024,21544,48714,post,
19026,21539,48653,post,
23291,25347,49866,post,
19606,22997,47711,post,
19175,21648,48595,post,
19078,21513,48557,post,
19054,21506,48515,post,
21042,21452,43093,post,
18841,23660,48783,post,
18689,23605,48809,post,
18791,23583,48801,post,
18747,23526,48761,post,
17741,23929,48526,post,
17848,23880,48529,post,
17957,23866,48435,post,
17859,23878,48527,post,
18488,23618,48561,post,
18485,23620,48564,post,
18885,23136,48481,post,
19167,23078,48474,post,
19041,23197,48434,post,
18626,23317,48515,post,
18545,23329,48465,post,
18480,23320,48459,post,
19090,23014,48515,post,
19710,22751,48611,post,
19602,22748,48620,post,
19613,22749,48528,post,
19590,22743,48537,post,
19563,22727,48534,post,
20222,23061,48319,post,
18338,23825,48145,post,
18339,23824,48148,post,
18559,23700,48177,post,
20342,22844,48352,post,
20204,22963,48238,post,
20201,22970,48235,post,
19470,20875,48534,post,
19379,20769,48568,post,
22568,22668,48234,post,
27727,23885,47846,post,
26976,23853,47669,post,
26064,19486,44109,post,
25459,25523,50501,post,
26519,23576,46750,post,
26520,23614,46750,post,
26512,23635,46705,post,
22938,22300,47252,post,
22937,22303,47243,post,
25405,23061,44743,post,
23305,23008,46580,post,
25592,23267,44837,post,
23707,22931,44103,post,
23603,22604,43769,post,
16253,24080,45946,post,
18702,20554,46097,post,
16174,22471,45799,post,
21378,23737,48712,post,
21376,23758,48690,post,
21452,23740,48697,post,
19818,23359,48170,post,
20377,23281,48274,post,
20363,23256,48241,post,
20233,23251,48226,post,
20351,23219,48228,post,
19472,23580,48182,post,
18753,23711,48116,post,
18721,23696,48076,post,
18724,23716,48047,post,
19533,23340,48088,post,
19574,23427,48002,post,
19481,23404,48017,post,
18803,23124,48629,post,
18436,23492,48591,post,
16049,24373,47506,post,
16049,24372,47506,post,
19379,22680,49635,post,
19236,20770,48230,post,
20742,21977,48058,post,
17174,24183,48444,post,
24308,21605,47996,post,
24250,21606,47972,post,
25155,23051,48624,post,
19855,23285,48551,post,
19238,20876,48107,post,
17917,23319,48367,post,
24533,22153,48571,post,
17049,24195,48371,post,
19809,21080,48605,post,
19799,21078,48583,post,
19751,20900,48603,post,
19427,20817,48483,post,
21978,22558,48274,post,
22004,22618,48236,post,
22006,22630,48223,post,
22037,22746,48159,post,
19328,20720,48434,post,
21229,22438,48379,post,
21233,22403,48284,post,
20765,21924,48220,post,
20069,21063,48331,post,
18670,23240,48071,post,
18450,23111,48129,post,
19553,20574,46761,post,
19498,20593,46726,post,
19498,20609,46710,post,
19461,20668,46172,post,
19418,20598,46164,post,
19831,20764,44658,post,
19614,20424,44770,post,
19963,20644,44484,post,
27915,24325,48110,post,
27908,24329,48107,post,
27915,24326,48114,post,
24094,23531,47815,post,
24095,23529,47816,post,
23723,23514,47649,post,
23417,23520,47619,post,
25919,21651,47124,post,
24002,21093,47195,post,
23999,21084,47190,post,
23998,21046,47199,post,
21399,22792,48468,post,
20380,21838,48581,post,
27507,23935,47685,post,
26035,21610,47070,post,
18860,21113,46272,post,
21819,20535,46833,post,
21825,20543,46729,post,
21818,20541,46735,post,
21830,20525,46771,post,
21811,20525,46762,post,
19572,22517,48126,post,
19197,21639,48298,post,
21334,21906,48011,post,
22529,22992,48117,post,
20571,22538,48699,post,
21388,22136,48053,post,
21413,22045,47997,post,
23847,23505,47522,post,
22078,22357,47668,post,
22096,22266,47804,post,
22087,22202,47785,post,
21944,21986,47690,post,
21271,21790,47680,post,
21006,22294,47495,post,
20898,22297,47511,post,
21130,21024,47326,post,
21303,21732,47543,post,
19326,20894,48588,post,
18424,20890,48537,post,
18395,20929,48487,post,
18449,20851,48478,post,
18273,20885,48424,post,
21544,22719,48378,post,
19320,22682,48224,post,
20528,20711,46500,post,
20491,22776,48183,post,
20543,20718,46376,post,
20542,20705,46361,post,
21575,22778,48364,post,
22894,23999,47472,post,
22901,24043,47423,post,
22580,22943,48193,post,
22832,23994,47381,post,
22534,23060,48127,post,
19503,23218,47958,post,
16532,24065,47273,post,
16586,23830,47329,post,
16573,24035,47228,post,
16545,23825,47287,post,
16542,24018,47188,post,
22697,23449,47234,post,
19028,21018,46348,post,
18902,21117,46186,post,
20475,20645,46654,post,
16474,21510,45985,post,
16469,21650,45923,post,
17555,21192,45415,post,
19543,20598,44403,post,
19343,20548,44280,post,
19291,20388,47293,post,
24534,22916,47893,post,
19788,23098,47625,post,
19786,23097,47627,post,
24544,22902,47791,post,
24542,22895,47792,post,
22962,23471,47378,post,
19779,23112,47590,post,
19755,23119,47590,post,
19256,21138,47313,post,
19245,21132,47302,post,
19204,21093,47281,post,
19206,21109,47270,post,
25053,23425,48221,post,
24168,20913,47570,post,
25121,24167,46784,post,
25140,24130,46779,post,
22168,22341,47103,post,
22177,22328,47094,post,
22168,22324,47108,post,
24031,23069,45795,post,
